iter	Accuracy	MultiClass
140	0.7337147376	0.5960299542
141	0.7338348954	0.5958434869
142	0.7338271433	0.5957520793
143	0.733811639	0.5956344938
144	0.7338620278	0.5954672621
145	0.7338387714	0.5953929895
146	0.7338697799	0.5953173244
147	0.7339628053	0.5950928596
148	0.7339589293	0.5949295162
149	0.7340907153	0.5948030638
150	0.7341604844	0.5946896563
151	0.7341488562	0.5945955502
152	0.7342186252	0.594486511
153	0.7342961464	0.5943772276
154	0.7343504112	0.5942252121
155	0.7343775437	0.5941482476
156	0.7343581634	0.5940950403
157	0.7345054536	0.5939598924
158	0.7344744451	0.5938711754
159	0.7344977015	0.5937853841
160	0.7346876284	0.5936548792
161	0.7346915045	0.5935540874
162	0.7347225129	0.5934648498
163	0.7348271665	0.5933975848
164	0.7348853074	0.5932441909
165	0.7349512004	0.5931205524
166	0.7349705807	0.5930642216
167	0.7350984907	0.5929071228
168	0.7351411273	0.5928159456
169	0.7351643837	0.5927338867
170	0.7351992682	0.5926668577
171	0.7351721358	0.5926093198
172	0.7353349303	0.592521389
173	0.7353465584	0.5924034565
174	0.7354318317	0.5922989254
175	0.7353969472	0.5922324103
176	0.7354589642	0.5921677069
177	0.7354240796	0.5920902801
178	0.7354550881	0.5919960806
179	0.7354744684	0.5919138331
180	0.7356178826	0.5917981665
181	0.7355713699	0.5915994446
182	0.7356217586	0.5914436253
183	0.7356954038	0.5913269273
184	0.735842694	0.5912734141
185	0.7358504461	0.5911534047
186	0.7359279673	0.5910349174
187	0.7359550997	0.5909159002
188	0.7359899843	0.5908056335
189	0.7360016124	0.5907148901
190	0.7359977364	0.5906428921
191	0.7361411506	0.5905663077
192	0.7362264239	0.590473946
193	0.7362264239	0.5903561271
194	0.7363349535	0.5901925517
195	0.7364124747	0.5900902335
196	0.7364551114	0.5900276735
197	0.7364899959	0.5899440278
198	0.7365481368	0.5898700803
199	0.7365907734	0.5897844486
200	0.7365248804	0.5896705805
201	0.736629534	0.5896108496
202	0.7366760467	0.5895227126
203	0.7367225594	0.5894115327
204	0.7367303116	0.5893656805
205	0.7367535679	0.5892865654
206	0.7367458158	0.5891861504
207	0.7368427173	0.5890708155
208	0.7369047342	0.5890118539
209	0.7368853539	0.5889457158
210	0.7369318666	0.5888643577
211	0.7369318666	0.5887862448
212	0.7369706272	0.5887031288
213	0.7369667512	0.5886646812
214	0.7370093878	0.5885891681
215	0.7370985372	0.5885213238
216	0.7370830329	0.5884466487
217	0.7370830329	0.5883893792
218	0.7371876865	0.5881696041
219	0.7371915626	0.5880515219
220	0.7372497035	0.5879948611
221	0.7372652077	0.5879229023
222	0.7372341992	0.5878733004
223	0.7373117204	0.5877957458
224	0.7373814895	0.5877356096
225	0.7373698613	0.5876768197
226	0.7373621092	0.5876191436
227	0.7373621092	0.5875282776
228	0.7373621092	0.5874724926
229	0.7373233486	0.5873970296
