,learning_rate,max_depth,n_estimators,subsample,colsample_bytree,subsample_for_bin,num_leaves,min_child_samples,score
143,0.15,,1750.0,1.0,1.0,200000.0,31.0,20.0,0.742483835690029
134,0.15,,1750.0,0.7,1.0,200000.0,31.0,20.0,0.742483835690029
137,0.15,,1750.0,0.8,1.0,200000.0,31.0,20.0,0.742483835690029
206,0.15,40.0,1750.0,0.7,1.0,200000.0,31.0,20.0,0.742483835690029
170,0.15,25.0,1750.0,0.7,1.0,200000.0,31.0,20.0,0.742483835690029
212,0.15,40.0,1750.0,0.9,1.0,200000.0,31.0,20.0,0.742483835690029
176,0.15,25.0,1750.0,0.9,1.0,200000.0,31.0,20.0,0.742483835690029
209,0.15,40.0,1750.0,0.8,1.0,200000.0,31.0,20.0,0.742483835690029
140,0.15,,1750.0,0.9,1.0,200000.0,31.0,20.0,0.742483835690029
173,0.15,25.0,1750.0,0.8,1.0,200000.0,31.0,20.0,0.742483835690029
101,0.1,40.0,1750.0,0.8,1.0,200000.0,31.0,20.0,0.7421384854473244
62,0.1,25.0,1750.0,0.7,1.0,200000.0,31.0,20.0,0.7421384854473244
98,0.1,40.0,1750.0,0.7,1.0,200000.0,31.0,20.0,0.7421384854473244
35,0.1,,1750.0,1.0,1.0,200000.0,31.0,20.0,0.7421384854473244
26,0.1,,1750.0,0.7,1.0,200000.0,31.0,20.0,0.7421384854473244
104,0.1,40.0,1750.0,0.9,1.0,200000.0,31.0,20.0,0.7421384854473244
29,0.1,,1750.0,0.8,1.0,200000.0,31.0,20.0,0.7421384854473244
71,0.1,25.0,1750.0,1.0,1.0,200000.0,31.0,20.0,0.7421384854473244
68,0.1,25.0,1750.0,0.9,1.0,200000.0,31.0,20.0,0.7421384854473244
107,0.1,40.0,1750.0,1.0,1.0,200000.0,31.0,20.0,0.7421384854473244
32,0.1,,1750.0,0.9,1.0,200000.0,31.0,20.0,0.7421384854473244
65,0.1,25.0,1750.0,0.8,1.0,200000.0,31.0,20.0,0.7421384854473244
50,0.1,25.0,1600.0,0.7,1.0,200000.0,31.0,20.0,0.7419849964505669
56,0.1,25.0,1600.0,0.9,1.0,200000.0,31.0,20.0,0.7419849964505669
23,0.1,,1600.0,1.0,1.0,200000.0,31.0,20.0,0.7419849964505669
20,0.1,,1600.0,0.9,1.0,200000.0,31.0,20.0,0.7419849964505669
95,0.1,40.0,1600.0,1.0,1.0,200000.0,31.0,20.0,0.7419849964505669
92,0.1,40.0,1600.0,0.9,1.0,200000.0,31.0,20.0,0.7419849964505669
86,0.1,40.0,1600.0,0.7,1.0,200000.0,31.0,20.0,0.7419849964505669
17,0.1,,1600.0,0.8,1.0,200000.0,31.0,20.0,0.7419849964505669
89,0.1,40.0,1600.0,0.8,1.0,200000.0,31.0,20.0,0.7419849964505669
59,0.1,25.0,1600.0,1.0,1.0,200000.0,31.0,20.0,0.7419849964505669
53,0.1,25.0,1600.0,0.8,1.0,200000.0,31.0,20.0,0.7419849964505669
14,0.1,,1600.0,0.7,1.0,200000.0,31.0,20.0,0.7419849964505669
298,0.2,40.0,1450.0,1.0,1.0,160000.0,31.0,20.0,0.7419466242013777
217,0.2,,1450.0,0.7,1.0,160000.0,31.0,20.0,0.7419466242013777
289,0.2,40.0,1450.0,0.7,1.0,160000.0,31.0,20.0,0.7419466242013777
295,0.2,40.0,1450.0,0.9,1.0,160000.0,31.0,20.0,0.7419466242013777
262,0.2,25.0,1450.0,1.0,1.0,160000.0,31.0,20.0,0.7419466242013777
292,0.2,40.0,1450.0,0.8,1.0,160000.0,31.0,20.0,0.7419466242013777
259,0.2,25.0,1450.0,0.9,1.0,160000.0,31.0,20.0,0.7419466242013777
226,0.2,,1450.0,1.0,1.0,160000.0,31.0,20.0,0.7419466242013777
256,0.2,25.0,1450.0,0.8,1.0,160000.0,31.0,20.0,0.7419466242013777
253,0.2,25.0,1450.0,0.7,1.0,160000.0,31.0,20.0,0.7419466242013777
220,0.2,,1450.0,0.8,1.0,160000.0,31.0,20.0,0.7419466242013777
223,0.2,,1450.0,0.9,1.0,160000.0,31.0,20.0,0.7419466242013777
300,0.2,40.0,1450.0,1.0,1.0,240000.0,31.0,20.0,0.7418890658275935
222,0.2,,1450.0,0.8,1.0,240000.0,31.0,20.0,0.7418890658275935
225,0.2,,1450.0,0.9,1.0,240000.0,31.0,20.0,0.7418890658275935
297,0.2,40.0,1450.0,0.9,1.0,240000.0,31.0,20.0,0.7418890658275935
219,0.2,,1450.0,0.7,1.0,240000.0,31.0,20.0,0.7418890658275935
264,0.2,25.0,1450.0,1.0,1.0,240000.0,31.0,20.0,0.7418890658275935
228,0.2,,1450.0,1.0,1.0,240000.0,31.0,20.0,0.7418890658275935
261,0.2,25.0,1450.0,0.9,1.0,240000.0,31.0,20.0,0.7418890658275935
291,0.2,40.0,1450.0,0.7,1.0,240000.0,31.0,20.0,0.7418890658275935
294,0.2,40.0,1450.0,0.8,1.0,240000.0,31.0,20.0,0.7418890658275935
258,0.2,25.0,1450.0,0.8,1.0,240000.0,31.0,20.0,0.7418890658275935
255,0.2,25.0,1450.0,0.7,1.0,240000.0,31.0,20.0,0.7418890658275935
34,0.1,,1750.0,1.0,1.0,160000.0,31.0,20.0,0.7415820878340784
31,0.1,,1750.0,0.9,1.0,160000.0,31.0,20.0,0.7415820878340784
28,0.1,,1750.0,0.8,1.0,160000.0,31.0,20.0,0.7415820878340784
25,0.1,,1750.0,0.7,1.0,160000.0,31.0,20.0,0.7415820878340784
61,0.1,25.0,1750.0,0.7,1.0,160000.0,31.0,20.0,0.7415820878340784
97,0.1,40.0,1750.0,0.7,1.0,160000.0,31.0,20.0,0.7415820878340784
70,0.1,25.0,1750.0,1.0,1.0,160000.0,31.0,20.0,0.7415820878340784
106,0.1,40.0,1750.0,1.0,1.0,160000.0,31.0,20.0,0.7415820878340784
67,0.1,25.0,1750.0,0.9,1.0,160000.0,31.0,20.0,0.7415820878340784
103,0.1,40.0,1750.0,0.9,1.0,160000.0,31.0,20.0,0.7415820878340784
100,0.1,40.0,1750.0,0.8,1.0,160000.0,31.0,20.0,0.7415820878340784
64,0.1,25.0,1750.0,0.8,1.0,160000.0,31.0,20.0,0.7415820878340784
169,0.15,25.0,1750.0,0.7,1.0,160000.0,31.0,20.0,0.7415245294602942
142,0.15,,1750.0,1.0,1.0,160000.0,31.0,20.0,0.7415245294602942
175,0.15,25.0,1750.0,0.9,1.0,160000.0,31.0,20.0,0.7415245294602942
139,0.15,,1750.0,0.9,1.0,160000.0,31.0,20.0,0.7415245294602942
208,0.15,40.0,1750.0,0.8,1.0,160000.0,31.0,20.0,0.7415245294602942
136,0.15,,1750.0,0.8,1.0,160000.0,31.0,20.0,0.7415245294602942
214,0.15,40.0,1750.0,1.0,1.0,160000.0,31.0,20.0,0.7415245294602942
205,0.15,40.0,1750.0,0.7,1.0,160000.0,31.0,20.0,0.7415245294602942
133,0.15,,1750.0,0.7,1.0,160000.0,31.0,20.0,0.7415245294602942
172,0.15,25.0,1750.0,0.8,1.0,160000.0,31.0,20.0,0.7415245294602942
178,0.15,25.0,1750.0,1.0,1.0,160000.0,31.0,20.0,0.7415245294602942
211,0.15,40.0,1750.0,0.9,1.0,160000.0,31.0,20.0,0.7415245294602942
151,0.15,25.0,1450.0,0.9,1.0,160000.0,31.0,20.0,0.7414861572111049
187,0.15,40.0,1450.0,0.9,1.0,160000.0,31.0,20.0,0.7414861572111049
181,0.15,40.0,1450.0,0.7,1.0,160000.0,31.0,20.0,0.7414861572111049
184,0.15,40.0,1450.0,0.8,1.0,160000.0,31.0,20.0,0.7414861572111049
154,0.15,25.0,1450.0,1.0,1.0,160000.0,31.0,20.0,0.7414861572111049
115,0.15,,1450.0,0.9,1.0,160000.0,31.0,20.0,0.7414861572111049
109,0.15,,1450.0,0.7,1.0,160000.0,31.0,20.0,0.7414861572111049
190,0.15,40.0,1450.0,1.0,1.0,160000.0,31.0,20.0,0.7414861572111049
118,0.15,,1450.0,1.0,1.0,160000.0,31.0,20.0,0.7414861572111049
112,0.15,,1450.0,0.8,1.0,160000.0,31.0,20.0,0.7414861572111049
148,0.15,25.0,1450.0,0.8,1.0,160000.0,31.0,20.0,0.7414861572111049
145,0.15,25.0,1450.0,0.7,1.0,160000.0,31.0,20.0,0.7414861572111049
33,0.1,,1750.0,0.9,1.0,240000.0,31.0,20.0,0.741294295965158
102,0.1,40.0,1750.0,0.8,1.0,240000.0,31.0,20.0,0.741294295965158
99,0.1,40.0,1750.0,0.7,1.0,240000.0,31.0,20.0,0.741294295965158
30,0.1,,1750.0,0.8,1.0,240000.0,31.0,20.0,0.741294295965158
72,0.1,25.0,1750.0,1.0,1.0,240000.0,31.0,20.0,0.741294295965158
27,0.1,,1750.0,0.7,1.0,240000.0,31.0,20.0,0.741294295965158
66,0.1,25.0,1750.0,0.8,1.0,240000.0,31.0,20.0,0.741294295965158
36,0.1,,1750.0,1.0,1.0,240000.0,31.0,20.0,0.741294295965158
63,0.1,25.0,1750.0,0.7,1.0,240000.0,31.0,20.0,0.741294295965158
108,0.1,40.0,1750.0,1.0,1.0,240000.0,31.0,20.0,0.741294295965158
69,0.1,25.0,1750.0,0.9,1.0,240000.0,31.0,20.0,0.741294295965158
105,0.1,40.0,1750.0,0.9,1.0,240000.0,31.0,20.0,0.741294295965158
241,0.2,,1750.0,0.7,1.0,160000.0,31.0,20.0,0.7411216208438057
250,0.2,,1750.0,1.0,1.0,160000.0,31.0,20.0,0.7411216208438057
286,0.2,25.0,1750.0,1.0,1.0,160000.0,31.0,20.0,0.7411216208438057
316,0.2,40.0,1750.0,0.8,1.0,160000.0,31.0,20.0,0.7411216208438057
283,0.2,25.0,1750.0,0.9,1.0,160000.0,31.0,20.0,0.7411216208438057
244,0.2,,1750.0,0.8,1.0,160000.0,31.0,20.0,0.7411216208438057
313,0.2,40.0,1750.0,0.7,1.0,160000.0,31.0,20.0,0.7411216208438057
280,0.2,25.0,1750.0,0.8,1.0,160000.0,31.0,20.0,0.7411216208438057
