iter	Accuracy	MultiClass
179	0.7409008058	0.5808465529
180	0.7410159248	0.5807260008
181	0.7410686876	0.5806476886
182	0.7410447045	0.5805804414
183	0.7409967383	0.58045698
184	0.7410590944	0.5804164203
185	0.7410495012	0.5803226583
186	0.7412029931	0.5802268877
187	0.7411598235	0.5801845986
188	0.7412989256	0.5800488143
189	0.7413852648	0.5799495898
190	0.741356485	0.5798437041
191	0.7414428243	0.5797405504
192	0.741471604	0.5796933452
193	0.7415675365	0.5795898808
194	0.7415723331	0.5795374108
195	0.7415915196	0.5794739891
196	0.7415963162	0.5793828839
197	0.741687452	0.5792917576
198	0.741802571	0.5792147624
199	0.7418649271	0.5791449194
200	0.7419080967	0.5790403297
201	0.7419992325	0.5789437716
202	0.7420232157	0.5788329153
203	0.742018419	0.5786832123
204	0.7420903684	0.5785822579
205	0.7422438603	0.5784838808
206	0.7422294705	0.5783832597
207	0.7423349962	0.5783222972
208	0.7423206063	0.578272567
209	0.7422822333	0.5782246361
210	0.7423206063	0.5781574305
211	0.7423445894	0.5780837851
212	0.7423925556	0.5780308378
213	0.742464505	0.5779467034
214	0.7426371834	0.5778433191
215	0.7427043361	0.5777925765
216	0.7426899463	0.5776924918
217	0.7427714889	0.5776044678
218	0.7428290483	0.5775411482
219	0.7427906754	0.5774516849
220	0.742718726	0.5774006016
221	0.742872218	0.5773470327
222	0.7428914045	0.5772600065
223	0.7429633538	0.5772050128
224	0.7430017268	0.5771295065
225	0.7430832694	0.5770736917
226	0.7430592863	0.5769958279
227	0.7431216424	0.5769262291
228	0.7430736761	0.5768692154
229	0.7429633538	0.57679932
230	0.7429249808	0.5767579047
231	0.7429969302	0.5767006127
232	0.7430353031	0.5766567187
233	0.7431168457	0.5765680599
234	0.743088066	0.5764742406
235	0.7431935917	0.5763890602
236	0.7432271681	0.5763509703
237	0.7432799309	0.5762693884
238	0.7434094398	0.5762026899
239	0.7434142364	0.5761691637
240	0.7434238296	0.5761201977
241	0.7435437452	0.5760621168
242	0.7435581351	0.576014141
243	0.7435149655	0.5759353509
244	0.7435917114	0.5758773466
245	0.7435773216	0.5757951153
246	0.7435533384	0.5757414677
247	0.743711627	0.5756553653
248	0.7437404068	0.5756222554
249	0.7437308135	0.57557806
250	0.7436588642	0.5754834242
251	0.7437308135	0.5754273015
252	0.7438075595	0.5753552686
253	0.7438507291	0.5753302237
254	0.7438699156	0.575269994
255	0.7438986953	0.5752222184
256	0.7439130852	0.5751506192
257	0.7439610514	0.5750929589
258	0.7439178818	0.5750477869
259	0.7439130852	0.5749854566
260	0.7439322717	0.5748791672
261	0.7439706447	0.5748406896
262	0.7440713738	0.5747794461
263	0.7440857636	0.5747487589
264	0.7440905602	0.5746885791
265	0.7442248657	0.5746188298
266	0.7442440522	0.5745868273
267	0.7442776285	0.5745328257
268	0.7442536454	0.5744567451
269	0.7443207982	0.5744152665
270	0.744335188	0.5743738203
271	0.7442920184	0.5743049652
272	0.7443543745	0.5742619455
273	0.7444167306	0.5741832256
274	0.7443495779	0.574137146
275	0.7442296623	0.5741053613
276	0.7443207982	0.5740626727
277	0.7443639678	0.5739290106
278	0.7443831543	0.5739070538
279	0.7444551036	0.5738334582
280	0.74448868	0.5737632005
281	0.7445126631	0.5737146663
