,Unnamed: 0,Unnamed: 0.1,subsample,gamma,learning_rate,max_depth,score
101,9,3,0.8,1.0,0.575,6.0,0.7409489457224535
102,5,3,0.725,1.0,0.475,6.0,0.7409297595978588
103,39,31,0.75,1.5,0.45,9.0,0.7409297595978588
104,40,143,0.95,1.5,0.55,9.0,0.7408530150994801
105,41,103,0.885,1.5,0.45,9.0,0.7408338289748854
106,42,2,0.75,0.5,0.425,6.0,0.7408146428502906
107,18,10,0.95,0.5,0.4375,5.0,0.7407762706011013
108,43,58,0.825,1.0,0.55,6.0,0.7407570844765065
109,44,135,0.95,1.5,0.425,9.0,0.7407378983519118
110,7,9,0.885,1.0025,0.455,6.0,0.7407187122273172
111,6,9,0.775,1.0,0.475,6.0,0.7407187122273172
112,7,2,0.725,1.0,0.45,6.0,0.7406995261027224
113,14,8,0.8,1.0,0.5,6.0,0.7406995261027224
114,19,22,0.95,0.65,0.45,5.0,0.7406803399781278
115,45,111,0.95,0.5,0.425,9.0,0.7406803399781278
116,46,87,0.885,1.0,0.425,9.0,0.7406611538535331
117,15,3,0.75,1.0,0.5,6.0,0.7406611538535331
118,20,11,0.95,0.5,0.4375,6.0,0.7406419677289384
119,47,91,0.885,1.0,0.45,9.0,0.7406419677289384
120,48,136,0.95,1.5,0.425,12.0,0.7405844093551543
121,8,2,0.884875,1.0,0.45,6.0,0.7405652232305596
122,49,127,0.95,1.0,0.45,9.0,0.7405076648567757
123,16,6,0.8,1.0,0.4,6.0,0.7403733619846127
124,10,9,0.925,1.0,0.575,6.0,0.7403733619846127
125,21,25,0.95,0.65,0.4625,5.0,0.740296617486234
126,7,1,0.88495,0.9925,0.45,6.0,0.7402198729878551
127,50,67,0.825,1.5,0.45,9.0,0.7402006868632603
128,8,4,0.75,1.0,0.425,6.0,0.7401815007386658
129,22,1,0.95,0.35,0.4375,5.0,0.7401623146140711
130,23,7,0.95,0.35,0.4625,5.0,0.740104756240287
131,52,68,0.825,1.5,0.45,12.0,0.740104756240287
132,53,64,0.825,1.5,0.425,12.0,0.7400663839910976
133,11,1,0.8,1.0,0.525,6.0,0.7400471978665031
134,8,7,0.88505,0.9925,0.45,6.0,0.7400280117419081
135,8,6,0.885,1.0,0.455,6.0,0.7400088256173135
136,54,75,0.885,0.5,0.425,9.0,0.739989639492719
137,55,55,0.825,1.0,0.45,9.0,0.7399128949943401
138,56,27,0.75,1.5,0.425,9.0,0.739855336620556
139,57,79,0.885,0.5,0.45,9.0,0.7397018476237984
140,58,34,0.75,1.5,0.55,6.0,0.7397018476237984
141,18,4,0.75,1.0,0.55,6.0,0.739605917000825
142,17,5,0.75,1.0,0.6,6.0,0.739605917000825
143,24,19,0.95,0.65,0.4375,5.0,0.7395675447516357
144,19,15,0.885,1.0,0.6,6.0,0.7394908002532569
145,25,13,0.95,0.5,0.45,5.0,0.7393756835056887
146,60,131,0.95,1.0,0.55,9.0,0.7392605667581207
147,61,95,0.885,1.0,0.55,9.0,0.7391262638859576
148,26,16,0.95,0.5,0.4625,5.0,0.7390687055121736
149,62,128,0.95,1.0,0.45,12.0,0.7389535887646055
150,63,39,0.825,0.5,0.425,9.0,0.7388384720170372
151,64,10,0.75,0.5,0.55,6.0,0.7388000997678479
152,65,43,0.825,0.5,0.45,9.0,0.7387809136432532
153,66,71,0.825,1.5,0.55,9.0,0.7385698662727116
154,67,15,0.75,1.0,0.425,9.0,0.7384355634005487
155,68,115,0.95,0.5,0.45,9.0,0.7382628882791966
156,69,19,0.75,1.0,0.45,9.0,0.738224516030007
157,70,35,0.75,1.5,0.55,9.0,0.7381093992824389
158,71,32,0.75,1.5,0.45,12.0,0.7379367241610866
159,72,59,0.825,1.0,0.55,9.0,0.7378599796627079
160,73,124,0.95,1.0,0.425,12.0,0.737668118416761
161,74,144,0.95,1.5,0.55,12.0,0.7374186987970299
162,75,28,0.75,1.5,0.425,12.0,0.7373995126724353
163,76,88,0.885,1.0,0.425,12.0,0.7373995126724353
164,77,3,0.75,0.5,0.425,9.0,0.7369966040559467
165,78,119,0.95,0.5,0.55,9.0,0.7366512538132423
166,79,52,0.825,1.0,0.425,12.0,0.7366128815640529
167,80,23,0.75,1.0,0.55,9.0,0.7364977648164848
168,81,72,0.825,1.5,0.55,12.0,0.736037297826212
169,82,47,0.825,0.5,0.55,9.0,0.7360181117016174
170,83,108,0.885,1.5,0.55,12.0,0.7359989255770228
171,84,92,0.885,1.0,0.45,12.0,0.7356919475835076
172,85,132,0.95,1.0,0.55,12.0,0.7353849695899926
173,86,7,0.75,0.5,0.45,9.0,0.7352506667178297
174,87,83,0.885,0.5,0.55,9.0,0.7350588054718828
175,88,116,0.95,0.5,0.45,12.0,0.7350588054718828
176,89,96,0.885,1.0,0.55,12.0,0.7349436887243146
177,90,56,0.825,1.0,0.45,12.0,0.7346367107307995
178,91,36,0.75,1.5,0.55,12.0,0.7339268241207958
179,92,20,0.75,1.0,0.45,12.0,0.7337733351240383
180,93,16,0.75,1.0,0.425,12.0,0.7329099595172771
181,94,76,0.885,0.5,0.425,12.0,0.7323151896548417
182,95,80,0.885,0.5,0.45,12.0,0.7321808867826788
183,96,112,0.95,0.5,0.425,12.0,0.7321617006580841
184,97,60,0.825,1.0,0.55,12.0,0.7319314671629479
185,98,11,0.75,0.5,0.55,9.0,0.7314710001726752
186,99,40,0.825,0.5,0.425,12.0,0.7307802996872662
187,100,44,0.825,0.5,0.45,12.0,0.7302622743232094
188,101,93,0.885,1.0,0.55,3.0,0.7300895992018572
189,102,9,0.75,0.5,0.55,3.0,0.7295715738378005
190,103,129,0.95,1.0,0.55,3.0,0.7293413403426642
191,104,120,0.95,0.5,0.55,12.0,0.7293029680934748
192,105,81,0.885,0.5,0.55,3.0,0.7292454097196907
