,subsample,gamma,learning_rate,max_depth,score
5,0.885,1.0,0.45,6.0,0.7435774447919264
7,0.885125,0.975,0.45,6.0,0.7433855835459795
8,0.885125,1.0,0.45,6.0,0.7430594194278698
1,0.884875,0.975,0.45,6.0,0.7425989524375971
4,0.885,0.975,0.45,6.0,0.742541394063813
9,0.885125,1.025,0.45,6.0,0.7423495328178661
3,0.884875,1.025,0.45,6.0,0.7418123213292147
6,0.885,1.025,0.45,6.0,0.7416780184570518
2,0.884875,1.0,0.45,6.0,0.7405652232305596
