,subsample,gamma,learning_rate,max_depth,score
11,0.95,1.0,0.55,6.0,0.7430977916770591
2,0.8,1.0,0.55,6.0,0.7428099998081389
5,0.885,1.0,0.55,6.0,0.7424646495654341
4,0.885,1.0,0.525,6.0,0.7423303466932715
10,0.95,1.0,0.525,6.0,0.7419658103259723
7,0.925,1.0,0.525,6.0,0.741850693578404
6,0.885,1.0,0.575,6.0,0.7413710404635366
12,0.95,1.0,0.575,6.0,0.7413710404635366
8,0.925,1.0,0.55,6.0,0.7413134820897527
3,0.8,1.0,0.575,6.0,0.7409489457224535
9,0.925,1.0,0.575,6.0,0.7403733619846127
1,0.8,1.0,0.525,6.0,0.7400471978665031
